date,ntrt,arm,net_primary_production,stem_mass_density,plant_density,stem_n_concentration,n_assimilated,site_name,site_lat,site_lon
1/1/11,C,1,127.4,150.8,75383,9.83,1.25,site_1,45.23,-89.43
1/1/11,C,2,144.1,74,74005,10.87,1.57,site_2,45.24,-89.44
1/1/11,C,3,105.4,86.6,57745,12.92,1.36,site_3,45.25,-89.45
1/1/11,0,1,74.3,110.7,40267,10.44,0.78,site_4,45.26,-89.46
1/1/11,0,2,235.8,86.4,69101,7.55,1.78,site_5,45.27,-89.47
1/1/11,0,3,269.9,105.7,60403,8.84,2.39,site_6,45.28,-89.48
1/1/11,5,1,273.4,178.3,59437,8.94,2.44,site_7,45.29,-89.49
1/1/11,5,2,245.3,101.7,45181,9.42,2.31,site_8,45.3,-89.5
1/1/11,5,3,150.7,69.5,55571,9.5,1.43,site_9,45.31,-89.51
1/1/11,10,1,289.5,184.5,56779,10.93,3.16,site_10,45.32,-89.52
1/1/11,10,2,295.7,100,44457,11.51,3.4,site_11,45.33,-89.53
1/1/11,10,3,273.7,115.8,51463,9.39,2.57,site_12,45.34,-89.54
1/1/11,15,1,208.9,79.4,63544,8.11,1.69,site_13,45.35,-89.55
1/1/11,15,2,133.8,80.3,53555,10.64,1.42,site_14,45.36,-89.56
1/1/11,15,3,281.4,97.2,48622,10.41,2.93,site_15,45.37,-89.57
1/1/11,20,1,103.5,91.3,40591,11.32,1.17,site_16,45.38,-89.58
1/1/11,20,2,303.8,190.8,58712,9.99,3.04,site_17,45.39,-89.59
1/1/11,20,3,243.8,128.3,57020,9.99,2.44,site_18,45.4,-89.6
1/1/11,25,1,243.5,101.5,57987,9.04,2.2,site_19,45.41,-89.61
1/1/11,25,2,347.8,144.3,57726,11.38,3.96,site_20,45.42,-89.62
1/1/11,25,3,225.4,108.9,27230,11.24,2.53,site_21,45.43,-89.63
1/1/12,C,1,367.6,205.4,61176,8.9,3.27,site_22,45.44,-89.64
1/1/12,C,2,299.9,131,70518,10.44,3.13,site_23,45.45,-89.65
1/1/12,C,3,261.4,172,61734,9.69,2.53,site_24,45.46,-89.66
1/1/12,0,1,284.4,122,40678,8.75,2.49,site_25,45.47,-89.67
1/1/12,0,2,349.2,103.3,57861,6.97,2.43,site_26,45.48,-89.68
1/1/12,0,3,347.2,109.5,63888,8.24,2.86,site_27,45.49,-89.69
1/1/12,5,1,357.4,238.3,74134,7.99,2.86,site_28,45.5,-89.7
1/1/12,5,2,319.7,99.9,73620,8.03,2.57,site_29,45.51,-89.71
1/1/12,5,3,347,105.5,59066,7.36,2.55,site_30,45.52,-89.72
1/1/12,10,1,458.8,117.3,82139,8.15,3.74,site_31,45.53,-89.73
1/1/12,10,2,383.6,81.3,71121,8.92,3.42,site_32,45.54,-89.74
1/1/12,10,3,497.1,180.8,66600,7.89,3.92,site_33,45.55,-89.75
1/1/12,15,1,328.3,92.2,75942,8.65,2.84,site_34,45.56,-89.76
