geographicDescription	northBoundinsouthBoundingCoordinategCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
FOREST-1	43.0386	43.0386	89.4418	89.4418
FOREST-2	43.1907	43.1907	89.527	89.527
FOREST-3	43.1703	43.1703	89.3634	89.3634
GRASS-1	43.0439	43.0439	89.4314	89.4314
GRASS-2	43.1911	43.1911	89.5283	89.5283
GRASS-3	43.1701	43.1701	89.3608	89.3608
URBHI-1	43.0886	43.0886	89.3528	89.3528
URBHI-2	43.0887	43.0887	89.3529	89.3529
URBHI-3	43.0663	43.0663	89.4103	89.4103
URBHI-4	43.0661	43.0661	89.4103	89.4103
URBLO-1	43.1927	43.1927	89.2741	89.2741
URBLO-2	43.1925	43.1925	89.2739	89.2739
WETLAND-1	43.0479	43.0479	89.4346	89.4346
WETLAND-2	43.1892	43.1892	89.5288	89.5288
WETLAND-3	43.1655	43.1655	89.3624	89.3624
WIBU-6	43.2711	43.2711	89.3983	89.3983
WIBU-7	43.271	43.271	89.3977	89.3977
WIBU-8	43.2708	43.2708	89.3964	89.3964
