id	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
3c7424fa-43c4-11ea-a0fe-ff20b80c06d0	year	Year of growth: 2011-2015	Date		YYYY	-99999	Missing value
3c7424fb-43c4-11ea-a0fe-ff20b80c06d0	ntrt	Field experimental N treatments were made with 8 applications per plot per year between mid May and mid August of each year	categorical			-99999	Missing value
3c7424fc-43c4-11ea-a0fe-ff20b80c06d0	arm	Experimental plots were located along 3 arms; each arm had one replicate each of 8 N treatments	categorical			-99999	Missing value
3c7424fd-43c4-11ea-a0fe-ff20b80c06d0	net_primary_production	The product of moss linear growth of stems (cm yr-1) and stem mass density (SMD)	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
3c7424fe-43c4-11ea-a0fe-ff20b80c06d0	stem_mass_density	Mass of 1-cm lengths of Sphagnum stems beneath the capitula per m2	numeric	gramsPerSquaredMeterPerCentimeter		-99999	Missing value
3c7424ff-43c4-11ea-a0fe-ff20b80c06d0	plant_density	Number of plants/area	numeric	numberPerMeterSquared		-99999	Missing value
3c742500-43c4-11ea-a0fe-ff20b80c06d0	stem_n_concentration	N concentration in the 0-2 cm stem sections	numeric	milligramsPerGram		-99999	Missing value
3c742501-43c4-11ea-a0fe-ff20b80c06d0	n_assimilated	Amount of N used and stored per area of moss cover per year	numeric	gramsPerMeterSquaredPerYear		-99999	Missing value
3c742502-43c4-11ea-a0fe-ff20b80c06d0	site_name	Name of site	character			-99999	Missing value
3c742503-43c4-11ea-a0fe-ff20b80c06d0	site_lat	Latitude in decimal degrees	numeric	degree		-99999	Missing value
3c742504-43c4-11ea-a0fe-ff20b80c06d0	site_lon	Longitude in decimal degrees	numeric	degree		-99999	Missing value
