id	element	context	subject	predicate_label	predicate_uri	object_label	object_uri
1d285f98-4947-11ea-9a31-311a2190e20a	dataset	eml	dataset	is about	http://purl.obolibrary.org/obo/IAO_0000136	placeholder_object_label	placeholder_object_uri
1d2c1f3e-4947-11ea-9a31-311a2190e20a	dataTable	dataset	nitrogen.csv	is about	http://purl.obolibrary.org/obo/IAO_0000136	placeholder_object_label	placeholder_object_uri
1d2c1f3f-4947-11ea-9a31-311a2190e20a	dataTable	dataset	decomp.csv	is about	http://purl.obolibrary.org/obo/IAO_0000136	placeholder_object_label	placeholder_object_uri
3c73af70-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	type	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73af71-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	date	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73af72-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	arm	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73af73-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	ntrt	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73af74-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	year	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73af75-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	percent_loss	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c73d7c0-43c4-11ea-a0fe-ff20b80c06d0	attribute	decomp.csv	taxa	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
3c7424fa-43c4-11ea-a0fe-ff20b80c06d0	attribute	nitrogen.csv	year	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	placeholder_object_label	placeholder_object_uri
