type,date,arm,ntrt,year,percent_loss,taxa
Sphagnum,2014-01-01,1,C,2014,4,Mosses
Sphagnum,2014-01-01,1,C,2014,7.1,Unsorted biomass
Sphagnum,2014-01-01,1,C,2014,6.23,Achillea millefolium
Sphagnum,2014-01-01,2,C,2014,16.81,Achillea millefolium
Sphagnum,2014-01-01,2,C,2014,0,Achillea millefolium
Sphagnum,2014-01-01,2,C,2014,2.39,Crepis tectorum
Sphagnum,2014-01-01,3,C,2014,11.06,Cyperus sp.
Sphagnum,2014-01-01,3,C,2014,7.22,Euphorbia glyptosperma
Sphagnum,2014-01-01,3,C,2014,13.88,Lespedeza capitata
Sphagnum,2014-01-01,,0,2014,0,Achillea millefolium
Sphagnum,2014-01-01,1,0,2014,8.14,Achillea millefolium
Sphagnum,2014-01-01,1,0,2014,7.26,Achillea millefolium
Sphagnum,2014-01-01,,0,2014,0.22,Achillea millefolium
Sphagnum,2014-01-01,2,0,2014,4.98,Cyperus sp.
Sphagnum,2014-01-01,2,0,2014,6.54,Lepidium densiflorum
Sphagnum,2014-01-01,3,0,2014,7.9,Lespedeza capitata
Sphagnum,2014-01-01,3,0,2014,3.54,Poa pratensis
Sphagnum,2014-01-01,3,0,2014,5.99,Rumex acetosella
Sphagnum,2014-01-01,1,5,2014,0,Schizachyrium scoparium
Sphagnum,2014-01-01,1,5,2014,8.12,Unsorted biomass
Sphagnum,2014-01-01,1,5,2014,7.86,Bouteloua gracilis
Sphagnum,2014-01-01,2,5,2014,9.29,Cyperus sp.
Sphagnum,2014-01-01,2,5,2014,0.91,Koeleria cristata
Sphagnum,2014-01-01,2,5,2014,2.71,Lespedeza capitata
Sphagnum,2014-01-01,3,5,2014,0,Liatris aspera
Sphagnum,2014-01-01,3,5,2014,0,Mosses
Sphagnum,2014-01-01,3,5,2014,0.81,Unsorted biomass
Sphagnum,2014-01-01,1,10,2014,5.16,Achillea millefolium
Sphagnum,2014-01-01,1,10,2014,6.5,Achillea millefolium
Sphagnum,2014-01-01,1,10,2014,5.14,Achillea millefolium
Sphagnum,2014-01-01,2,10,2014,4.79,Crepis tectorum
Sphagnum,2014-01-01,2,10,2014,3.8,Cyperus sp.
Sphagnum,2014-01-01,2,10,2014,3.36,Euphorbia glyptosperma
Sphagnum,2014-01-01,3,10,2014,0,Lespedeza capitata
Sphagnum,2014-01-01,3,10,2014,0,Achillea millefolium
Sphagnum,2014-01-01,3,10,2014,0,Achillea millefolium
Sphagnum,2014-01-01,1,15,2014,7.65,Achillea millefolium
Sphagnum,2014-01-01,1,15,2014,7.24,Achillea millefolium
Sphagnum,2014-01-01,1,15,2014,6.9,Cyperus sp.
Sphagnum,2014-01-01,2,15,2014,8.31,Lepidium densiflorum
Sphagnum,2014-01-01,2,15,2014,10.69,Lespedeza capitata
Sphagnum,2014-01-01,2,15,2014,8.4,Poa pratensis
Sphagnum,2014-01-01,3,15,2014,10.37,Rumex acetosella
Sphagnum,2014-01-01,3,15,2014,0,Schizachyrium scoparium
Sphagnum,2014-01-01,3,15,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,20,2014,3.34,Bouteloua gracilis
Sphagnum,2014-01-01,1,20,2014,5.69,Cyperus sp.
Sphagnum,2014-01-01,1,20,2014,7.33,Koeleria cristata
Sphagnum,2014-01-01,2,20,2014,4.87,Lespedeza capitata
Sphagnum,2014-01-01,2,20,2014,0,Liatris aspera
Sphagnum,2014-01-01,2,20,2014,12.85,Mosses
Sphagnum,2014-01-01,3,20,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,20,2014,3.06,Achillea millefolium
Sphagnum,2014-01-01,3,20,2014,2.26,Achillea millefolium
Sphagnum,2014-01-01,1,25,2014,7.32,Achillea millefolium
Sphagnum,2014-01-01,1,25,2014,5.72,Crepis tectorum
Sphagnum,2014-01-01,1,25,2014,2.12,Cyperus sp.
Sphagnum,2014-01-01,2,25,2014,12.74,Euphorbia glyptosperma
Sphagnum,2014-01-01,2,25,2014,0.83,Lespedeza capitata
Sphagnum,2014-01-01,2,25,2014,19.43,Achillea millefolium
Sphagnum,2014-01-01,3,25,2014,5.17,Achillea millefolium
Sphagnum,2014-01-01,3,25,2014,6.64,Achillea millefolium
Sphagnum,2014-01-01,3,25,2014,1.5,Achillea millefolium
Sphagnum,2015-01-01,1,C,2015,10.64,Cyperus sp.
Sphagnum,2015-01-01,1,C,2015,15.38,Lepidium densiflorum
Sphagnum,2015-01-01,1,C,2015,16.49,Lespedeza capitata
Sphagnum,2015-01-01,1,C,2015,11.31,Poa pratensis
Sphagnum,2015-01-01,2,C,2015,13.14,Rumex acetosella
Sphagnum,2015-01-01,2,C,2015,13.45,Schizachyrium scoparium
Sphagnum,2015-01-01,2,C,2015,12.62,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,11.06,Bouteloua gracilis
Sphagnum,2015-01-01,3,C,2015,13.92,Cyperus sp.
Sphagnum,2015-01-01,3,C,2015,11.02,Koeleria cristata
Sphagnum,2015-01-01,3,C,2015,12.44,Lespedeza capitata
Sphagnum,2015-01-01,3,C,2015,12.64,Liatris aspera
Sphagnum,2015-01-01,1,0,2015,11.42,Mosses
Sphagnum,2015-01-01,1,0,2015,10.6,Unsorted biomass
Sphagnum,2015-01-01,1,0,2015,15.34,Achillea millefolium
Sphagnum,2015-01-01,1,0,2015,13.25,Achillea millefolium
Sphagnum,2015-01-01,2,0,2015,6.85,Achillea millefolium
Sphagnum,2015-01-01,2,0,2015,4.85,Crepis tectorum
Sphagnum,2015-01-01,2,0,2015,6.75,Cyperus sp.
