id	element	context	subject	predicate_label	predicate_uri	object_label	object_uri
/dataset	/dataset	eml	dataset	is about	http://purl.obolibrary.org/obo/IAO_0000136	nitrogen proportion in whole plant	http://purl.dataone.org/odo/ECSO_00002467
/nitrogen.csv	/dataTable	dataset	nitrogen.csv	is about	http://purl.obolibrary.org/obo/IAO_0000136	nitrogen proportion in whole plant	http://purl.dataone.org/odo/ECSO_00002467
/nitrogen.csv/date	/dataTable/attribute	nitrogen.csv	date	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	date and time of measurement	http://purl.dataone.org/odo/ECSO_00002043
/nitrogen.csv/date	/dataTable/attribute	nitrogen.csv	date	has unit	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasUnit	year and day of measurement	http://purl.dataone.org/odo/ECSO_00002072
/nitrogen.csv/ntrt	/dataTable/attribute	nitrogen.csv	ntrt	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	nitrate concentration	http://purl.dataone.org/odo/ECSO_00002216
/nitrogen.csv/ntrt	/dataTable/attribute	nitrogen.csv	ntrt	has unit	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasUnit	gram per square meter	http://purl.obolibrary.org/obo/UO_0010049
/nitrogen.csv/arm	/dataTable/attribute	nitrogen.csv	arm	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	site identifier	http://purl.dataone.org/odo/ECSO_00002997
/nitrogen.csv/net_primary_production	/dataTable/attribute	nitrogen.csv	net_primary_production	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	Net Primary Production Biomass Flux	http://purl.dataone.org/odo/ECSO_00001137
/nitrogen.csv/net_primary_production	/dataTable/attribute	nitrogen.csv	net_primary_production	has unit	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasUnit	milligram per kilogram per day	http://purl.obolibrary.org/obo/UO_0000311
/nitrogen.csv/stem_mass_density	/dataTable/attribute	nitrogen.csv	stem_mass_density	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	mass density	http://purl.dataone.org/odo/ECSO_00000678
/nitrogen.csv/stem_mass_density	/dataTable/attribute	nitrogen.csv	stem_mass_density	has unit	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasUnit	density unit	http://purl.obolibrary.org/obo/UO_0000182
/nitrogen.csv/plant_density	/dataTable/attribute	nitrogen.csv	plant_density	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	Plant Material Biomass Density	http://purl.dataone.org/odo/ECSO_00001147
/nitrogen.csv/plant_density	/dataTable/attribute	nitrogen.csv	plant_density	has unit	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasUnit	mass density unit	http://purl.obolibrary.org/obo/UO_0000052
/nitrogen.csv/stem_n_concentration	/dataTable/attribute	nitrogen.csv	stem_n_concentration	contains measurements of type	http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#containsMeasurementsOfType	nitrogen concentration	http://purl.dataone.org/odo/ECSO_00001883
